New York, NY, USA,20092883,40.71278,-74.00594
Los Angeles, CA, USA,13262220,34.05223,-118.2437
Chicago, IL, USA,9554598,41.87811,-87.6298
Dallas, TX, USA,6954330,32.77666,-96.79699
Houston, TX, USA,6490180,29.76043,-95.3698
Philadelphia, PA, USA,6051170,39.95258,-75.16522
Washington, DC, USA,6033737,38.90719,-77.03687
Miami, FL, USA,5929819,25.76168,-80.19179
Atlanta, GA, USA,5614323,33.749,-84.38799
Boston, MA, USA,4732161,42.36008,-71.05888
San Francisco, CA, USA,4594060,37.77493,-122.4194
Phoenix, AZ, USA,4489109,33.44838,-112.074
Ontario, CA, USA,4441890,34.06334,-117.6509
Detroit, MI, USA,4296611,42.355979,-83.07501
Seattle, WA, USA,3671478,47.61038,-122.2007
Minneapolis, MN, USA,3495176,44.8817,-93.2041
San Diego, CA, USA,3263431,32.71574,-117.1611
Tampa, FL, USA,2915582,27.959803,-82.434933
Saint Louis, MO, USA,2806207,38.627,-90.1994
Baltimore, MD, USA,2785874,39.294933,-76.613035
Denver, CO, USA,2754258,39.70471,-105.0814
Charlotte, NC, USA,2380314,35.246947,-80.848792
Pittsburgh, PA, USA,2355968,40.44062,-79.99589
Portland, OR, USA,2348247,45.52306,-122.6765
San Antonio, TX, USA,2328652,29.42412,-98.49363
Orlando, FL, USA,2321418,28.518507,-81.396564
Sacramento, CA, USA,2244397,38.577325,-121.495868
Cincinnati, OH, USA,2149449,39.10312,-84.51202
Kansas City, MO, USA,2071133,39.09973,-94.57857
Las Vegas, NV, USA,2069681,36.08705,-115.138
Cleveland, OH, USA,2063598,41.497852,-81.69229
Columbus, OH, USA,1994536,39.96117,-82.99879
Indianapolis, IN, USA,1971274,39.792968,-86.149902
San Jose, CA, USA,1952872,37.341364,-121.887726
Austin, TX, USA,1943299,30.26715,-97.74306
Nashville, TN, USA,1792649,36.09451,-86.65364
Virginia Beach, VA, USA,1716624,36.85293,-75.97798
Providence, RI, USA,1609367,41.82399,-71.41283
Milwaukee, WI, USA,1572245,43.01668,-88.00703
Jacksonville, FL, USA,1419127,30.33218,-81.65565
Memphis, TN, USA,1343230,35.14954,-90.04898
Oklahoma City, OK, USA,1336767,35.46756,-97.51643
Louisville, KY, USA,1269702,38.25267,-85.75845
Richmond, VA, USA,1260029,37.54073,-77.43605
New Orleans, LA, USA,1251849,29.95107,-90.07153
Raleigh, NC, USA,1242974,35.77959,-78.63818
Hartford, CT, USA,1214295,41.76371,-72.6851
Salt Lake City, UT, USA,1153340,40.76078,-111.891
Birmingham, AL, USA,1143772,33.33896,-86.85169
Buffalo, NY, USA,1136360,42.88645,-78.87837
Rochester, NY, USA,1083393,43.16103,-77.61092
Grand Rapids, MI, USA,1027703,42.96336,-85.66808
Tucson, AZ, USA,1004516,32.22174,-110.9265
Tulsa, OK, USA,969224,36.15398,-95.99277
Fresno, CA, USA,965974,36.74684,-119.7726
Bridgeport, CT, USA,945438,41.18655,-73.19518
Worcester, MA, USA,930473,42.26259,-71.80229
Albuquerque, NM, USA,904587,35.08533,-106.6056
Omaha, NE, USA,904421,41.25237,-95.99799
Albany, NY, USA,880167,42.65258,-73.75623
Bakersfield, CA, USA,874589,35.37329,-119.0187
Greenville, SC, USA,862463,34.85262,-82.39401
New Haven, CT, USA,861277,41.30827,-72.92789
Knoxville, TN, USA,857585,35.96064,-83.92074
Oxnard, CA, USA,846178,34.19751,-119.1771
El Paso, TX, USA,836698,31.77758,-106.4425
McAllen, TX, USA,831073,26.20341,-98.23001
Allentown, PA, USA,829835,40.60843,-75.49018
Baton Rouge, LA, USA,825478,30.45828,-91.14032
Dayton, OH, USA,800836,39.75895,-84.1916
Columbia, SC, USA,800495,34.00071,-81.03481
North Port, FL, USA,748708,27.04422,-82.23592
Greensboro, NC, USA,746593,36.07264,-79.79198
Little Rock, AR, USA,729135,34.74648,-92.2896
Charleston, SC, USA,727689,32.77647,-79.93105
Stockton, CA, USA,715597,37.9577,-121.2908
Akron, OH, USA,703825,41.08144,-81.519
Colorado Springs, CO, USA,686908,38.83388,-104.8214
Cape Coral, FL, USA,679513,26.56285,-81.94953
Boise, ID, USA,664422,43.61871,-116.2146
Syracuse, NY, USA,661478,43.04812,-76.14742
Winston, NC, USA,655015,36.10397,-80.25443
Wichita, KS, USA,641076,37.68889,-97.33611
Lakeland, FL, USA,634638,28.03946,-81.94981
Madison, WI, USA,633787,43.07305,-89.40123
Ogden, UT, USA,632293,41.223,-111.9738
Springfield, MA, USA,629100,42.10148,-72.58981
Des Moines, IA, USA,611549,41.60054,-93.60911
Deltona, FL, USA,609939,28.90055,-81.26367
Toledo, OH, USA,607456,41.66394,-83.55521
Augusta, GA, USA,583632,33.4735,-82.01051
Jackson, MS, USA,577564,32.29876,-90.18481
Provo, UT, USA,571460,40.28014,-111.7255
Harrisburg, PA, USA,560849,40.24276,-76.83728
Scranton, PA, USA,559679,41.40897,-75.66241
Palm Bay, FL, USA,556885,28.028317,-80.589509
Youngstown, OH, USA,553263,41.09978,-80.64952
Chattanooga, TN, USA,544559,35.04563,-85.30968
Durham, NC, USA,542710,35.9132,-79.05585
Spokane, WA, USA,540953,47.655615,-117.40803
